id,title,plot
6223,Hollywood Screen Tests: Take 2,
6224,Bark,"Maya is sent to market to pick up some goods. Although she is young, she makes the journey alone, with only her persistent dog for company. At the market Maya is given a cabbage and a baby goat and must make the return journey home, negotiating the hungry goat, barking dog, and cumbersome cabbage."
6225,Keb' Mo': Sessions at West 54th,"The acoustic bluesman caught live in New York City, June 10, 1997."
6226,Jimi Hendrix,"This is a biography of Jimi Hendrix, the world famous guitarist who died in 1970 aged 27. Friends and prominent musicians Pete Townshend, Mick Jagger, Eric Clapton and Buddy Miles comment on Jimi's life and his influence on the rock music. Features recordings from concerts appearances, including ""Hey Joe"", ""Rock Me, Baby"" and ""Like a Rolling Stone"" from the Monterey Pop Festival, and ""The Star Spangled Banner"" from Woodstock.::Tom Zoerner <Tom.Zoerner@informatik.uni-erlangen.de>"
6227,She Killed in Ecstasy,"After a doctor commits suicide when his research into human embryos is terminated, his wife seduces and then executes revenge upon those she holds responsible."
6228,Kiss: Live in Las Vegas,"The concert the world never got to see from the biggest live act in the music business! KISS: LIVE IN LAS VEGAS takes you onstage with the world's hottest band as they play the 1999 IBASH, the show that over one billion people missed when the Internet servers crashed during the performance.::Anonymous"
6229,Sing Along Songs: Sing a Song with Pooh Bear and Piglet Too,Sing along with charicters in the hundred acre wood while pooh trying find his song
6230,Lumumba,"The true story of controversial leader of independent Congo, Patrice Lumumba."
6231,Decoys,"Luke and Roger are just another couple of college guys trying to lose their virginity. But when Luke sees something unusual, he begins to suspect that the girls on campus aren't exactly human."
6232,Belle's Magical World,"Beauty and the Beast ""midquel"" set during Belle's original stay at the Beast's castle and composed of three short stories (four in the DVD release) that suitably teach both kids and adults to forgive, love, and be kind to one another."
6233,Octopus,"October 1962. A Russian submarine was sunk and toxic barrels spread in the ocean. 38 years later in Bulgaria, young CIA agent Roy Turner has arrested a dangerous terrorist Casper. American authorities have decided to secretly repatriate him in a sub to the US, where he has to be judged. The voyage is going well until a huge creature attacks the sub.::chacaloute"
6234,Blade II,"Blade forms an uneasy alliance with the vampire council in order to combat the Reapers, who are feeding on vampires."
6235,Marley Magic,
6236,Marriage Is a Crazy Thing,"Jun-young (Kam Woo-seong) is a man in his early thirties who has seen his friends and younger brother get married but has yet to open himself to a serious relationship. Rather he is happy floating through life with little direction or ambition. Yeon-hee (Eom Jeong-hwa) is girl approaching thirty who is desperate to find a suitable husband, but is looking for a match based on social and economic suitability rather than love. They meet on a blind date and quickly find that they are incompatible intellectually, but have an instant physical and emotional connection. Both are extremely practically minded, and as such decide to explore each other by starting a casual physical relationship, while she continues looking for more suitable husband and he avoids commitment.::Asuran"
6237,The M.O. of M.I.,"Michael and Tom are a happy gay couple in Austin Texas until the sexy performance artist/hustler, Jonathon enters their lives. Jonnathon is in hiding. He has a past with Michael and all is not as it seems."
6238,Beyond the Clouds,Four stories about short or long relationships between men and women in Italy and France.
6239,Scooby-Doo and the Witch's Ghost,"Scooby-Doo and the Mystery Gang visit Oakhaven, Massachusetts to seek strange goings on involving a famous horror novelist and his ancestor who is rumored be a witch."
6240,It's Black Entertainment,"Survey of musical performers on film from the 20th century, organized into segments: Dancers, Divas, Rock and Soul, Jazz and Swing, Male Singers, and Hip Hop."
6241,The Last September,"In the heart of a young woman, lies a secret that divides a nation."
6242,Saturday Night Live: The Best of Phil Hartman,A Saturday Night Live DVD featuring the best of Phil Hartman.
6243,The Adventures of Buckaroo Banzai Across the 8th Dimension,"Adventurer, brain surgeon, rock musician Buckaroo Banzai and his crime-fighting team, the Hong Kong Cavaliers, must stop evil alien invaders from the eighth dimension who are planning to conquer Earth."
6244,Girl with Green Eyes,"In 1960s Dublin a young girl becomes involved with an older man, a much-travelled and still married land-owner."
6245,"Jason Todd Rumor, Wonder Woman Release Date and More! - DC Movie News for February 18th, 2016",
6246,Goosebumps: Welcome to Dead House,"A family moves to an eerie, isolated small town where the unemployed residents harbor a dark secret about the local chemical factory. An audio book adaptation of R.L. Stine's classic book."
6247,Godzilla vs. Mechagodzilla,"The United Nations assembles the ultimate weapon to defeat Godzilla, while scientists discover a fresh pteranodon egg on a remote Japanese island."
6248,Hello Kitty's Furry Tale Theater,Join Hello Kitty in some fun adventures which are based off of popular children's fairy tales.
6249,Chitty Chitty Bang Bang,"A down-on-his-luck inventor turns a broken-down Grand Prix car into a fancy vehicle for his children, and then they go off on a magical fantasy adventure to save their grandfather in a far-off land."
6250,Swept Away,A snooty socialite is stranded on a Mediterranean island with a communist sailor.
6251,Sesame Street: Being Green,"During Sesame Street's first Earth-a-Thon (hosted by Mr. Earth), Abby Cadabby accidentally turns Elmo from red to green."
6252,Bittersweet Motel,"Bittersweet Motel is a documentary about the popular rock band Phish. The film focuses on Phish's music, with little emphasis on their die-hard fan base."
6253,The School of Flesh,"Fashion executive Dominique's obsession for Quentin, a young bisexual hustler, fills her desire for physical love but leaves her taxed emotionally. Twists and turns in the relationship, along with the man's violent and abusive nature, force Dominique to reconcile the conflicts created by her passion. In this quest, Dominique is aided [and sometimes hindered] by friends, clients, and Quentin's former and current acquaintances.::kevin kraynak <kevin@kraynakk.com>"
6254,My Brilliant Career,A proud young woman in early 20th century Australia must choose between marriage and independence.
6255,All or Nothing,"In a poor working class London home Penny's love for her partner, taxi-driver Phil, has run dry, but when an unexpected tragedy occurs, they and their local community are brought together, and they rediscover their love."
6256,The Terrorifying Return of the Green Goblin!,"Norman Osborn now knows the true identity of Spider-Man: Peter Parker. Now, whenever Peter changes into Spider-Man, the Green Goblin will be ready! Can Spidey escape the Green Goblin's weapons?"
6257,Tai Chi for Beginners,"Filmed on a tranquil location overlooking the Pacific Ocean, this program features two practices and will allow you to experience the many layers of benefits this martial art offers."
6258,Word Wars,A look at the obsessive world of competitive Scrabble.
6259,Newlyweds: Nick & Jessica,"""Newlyweds"" follows the lives of pop stars Nick Lachey and Jessica Simpson in the same way ""The Osbournes"" follows Ozzy's clan."
6260,"Eerie, Indiana","Teenage weirdness investigator Marshall Teller adventures through his new small-town home with his friends, geeky Simon Holmes and mysterious Dash X."
6261,Country Life,"Adaptation of Chekhov's ""Uncle Vanya"" set in rural Australia in the 1920's. Jack Dickens and his niece Sally run the family farm to support brother-in-law Alexander as a (supposedly brilliant) literary critic in London. Action begins when Alexander returns with his beautiful young wife Deborah, revealing himself as an arrogant failure and wanting to sell the farm out from under Jack. Blakemore introduces themes about Australia's separation from England, as well as expanding the pacifist and ecological philosophies espoused by the local Doctor Max Askey.::Anonymous"
6262,Steamboy,"In 1860s Britain, a boy inventor finds himself caught in the middle of a deadly conflict over a revolutionary advance in steam power."
6263,The Fly 2,"The almost-human son of ""Brundlefly"" searches for a cure to his mutated genes while being monitored by a nefarious corporation that wishes to continue his father's experiments."
6264,Wasabi,"In Japan for the funeral of his long-lost love, a tough French detective learns that he also has a teenage daughter and that her life is in danger from the Yakuza."
6265,Timecode,Four frames of simultaneous action that alternately follow a smitten lesbian lover as she obsesses over her partner's dalliances and the tense goings-on of a Hollywood film production company.
6266,Gladiator Days: Anatomy of a Prison Murder,"The story of Troy Kell, a white-supremacist convicted in Nevada at age 18 of first-degree murder and sentenced to life in prison without parole. He was later transferred to a prison in Utah, where he attacked and murdered a black inmate by stabbing him 67 times. For that crime he was convicted and sentenced to death.::frankfob2@yahoo.com"
6267,Waisa Bhi Hota Hai,
6268,Border,A customs officer who can smell fear develops an unusual attraction to a strange traveler while aiding a police investigation which will call into question her entire existence.
6269,The Legend of Loch Lomond,"Set on the bonnie banks of Loch Lomond in breathtaking Scotland, Legend of Loch Lomond is the dramatic ghost story of 18th century lovers cruelly separated by war, but reunited in the present day by a beautiful young singer who inadvertently becomes entangled in their tale.::Anonymous"
6270,G.I. Joe: Valor vs. Venom,"The G.I. Joe team battles Cobra's newest threat, Venomous Maximus and his hybrid troops."
6271,Power and Terror: Noam Chomsky in Our Times,This documentary compiles a series of Noam Chomsky's interviews and lectures that address the events of 9/11.
6272,Wake of Death,"After his wife is brutally murdered, club enforcer Ben Archer wages war against the Chinese triads."
6273,Clouds of Witness,"Lord Peter's brother, the Duke of Denver is accused of murdering their sister Mary's fiancé. It's up to Lord Peter and his faithful man Bunter to untangle all the clues and the contradicting testimony of a cloud of witnesses to save Denver.::Kathy Li"
6274,Xtro 3: Watch the Skies,"Marines travel to a deserted island to diffuse bombs, only to be terrorized by a deadly alien creature."
6275,October,A group of interns are going through the usual grind when suddenly an accident changes their lives. The protagonist can't get let go of it and becomes obsessed with it. What does it all lead to? Is it love or something else?
6276,The Best of R.E.M.: In View 1988-2003,A career retrospective collecting the music videos of R.E.M. during their Warner Bros. years between 1988 and 2003.
6277,Guns N' Roses: Use Your Illusion II,"A live concert filmed in Tokyo Dome, Japan on February 22, 1992."
6278,Funhouse,"When 8 celebrities from around the globe are invited to compete in an online reality show, they soon realize that they are playing for their very lives, as those voted off suffer horrific consequences, broadcast live to the entire world."
6279,The Office's Final Season,
6280,Hercules in the Haunted World,Hercules must journey into Hades itself to retrieve the magic stone that will free his love from the powers of darkness.
6281,Faces of Death: Fact or Fiction?,
6282,Casino Raiders,"Law and Chan are gamblers and friends. Forced into a battle with the Yakuza, How far will friendship go? A high stakes card game will settle it all."
6283,Beany and Cecil,Updated version of the classic Bob Clampett series about the adventures of a boy and a sea serpent.
6284,Fitzcarraldo,"The story of Brian Sweeney Fitzgerald, an extremely determined man who intends to build an opera house in the middle of a jungle."
6285,The Demoniacs,"A gang of pirates rape the two sole survivors of a ship wreck. The violated girls are rescued by the strange inhabitants of a supposedly haunted island, where they are granted supernatural powers to strike revenge against the pirates."
6286,Iron Mask,"Early 1700: Cartographer Jonathan Green (Jason Flemyng) from Viy (2014) is back to map the Russian Far East. He's forced on to China, where he confronts the Dragon Master et al. The iron masked Russian Czar escapes the Tower of London to a Russian ship."
6287,"After Dark, My Sweet","An ex-boxer is drifting around after escaping from the mental hospital. He meets a widow who convinces him to help fix up the neglected estate her ex-husband left. Her Uncle talks them both into helping kidnap a rich boy for ransom money, and the ex-fighter must make decisions about his loyalties and what is right.::Ed Sutton <esutton@mindspring.com>"
6288,"Upstairs, Downstairs",The trials of the British aristocratic Bellamy family and their household staff.
6289,Shackleton's Antarctic Adventure,"Shackleton's Antarctic Adventure is a giant-screen film that tells the dramatic true story of explorer Sir Ernest Shackleton's now-legendary 1914-1916 British Imperial Trans-Antarctic Expedition. A testament to heroism and human endurance, the 28-man crew survived nearly two years in the Antarctic when its ship, the Endurance, was trapped and then crushed by pack ice.::Anonymous"
6290,Naked Killer,A young woman is trained by a martial arts specialist to become a professional assassin.
6291,Phantom: The Submarine,Korea's first nuclear submarine and a crew with no record of existence embark on a do-or-die mission into the deep waters of the Pacific.
6292,Flash Gordon,A football player and his friends travel to the planet Mongo and find themselves fighting the tyranny of Ming the Merciless to save Earth.
6293,The Odessa File,"Following the suicide of an elderly Jewish man, a journalist in possession of the man's diary investigates the alleged sighting of a former S.S. Captain, who commanded a concentration camp during World War II."
6294,The Brave and the Bold,"An overconfident CHL Hall loses a friendly match to a much more senior team, with a disastrous forfeit lurking as the penalty. Meanwhile, Jess must come to terms with her relationship with Keong - can she fully accept him for what he is?"
6295,Angels and Demons Revealed,The secret Illuminati does indeed exist. For the first time the truth is exposed behind the horrifying plan for world domination. Does the Illuminati have the power to take control of the world? Is the Vatican in grave danger? Are there even more targets around the world? Have devastating weapons been positioned to cause catastrophic results?::A Bedir
6296,Bounce: Behind the Velvet Rope,A behind the scenes look at the crazy and violent world of nightclub bouncers.
6297,National Lampoon's Animal House,"At a 1962 college, Dean Vernon Wormer is determined to expel the entire Delta Tau Chi Fraternity, but those troublemakers have other plans for him."
6298,Shadows and Light,Set in 1970s Los Angeles. The show follows the life of B movie director Carl Hathaway as he struggles to make a great film.
6299,Cleopatra: The First Woman of Power,An attempt to correct popular misconceptions about the real Cleopatra.
6300,"Healthy, Wealthy, and Dumb",
6301,Masked and Anonymous,"A singer, whose career has gone on a downward spiral, is forced to make a comeback to the performance stage for a benefit concert."
6302,The James Bond Story,"One Bond is not enough, and this documentary proves it! The James Bond Story celebrates the 39th Anniversary of James Bond in the cinema."
6303,Tai Chi Master,"Two friends, ex Shaolin monks, part ways as they brush with the ongoing rebellion against the government. The ambitious one rises up to be a powerful military commander, while his betrayed friend resorts to learn the calm ways of Tai Chi."
6304,Picnic at Hanging Rock,"During a rural summer picnic, a few students and a teacher from an Australian girls' school vanish without a trace. Their absence frustrates and haunts the people left behind."
6305,Saturday Night Live: The Best of Jimmy Fallon,"The Best Of Jimmy Fallon is loaded with his most memorable moments and sketches on the show and includes Jimmy with Mick Jagger, Jarret's Room, Sully and Denise, Jeopardy with Jimmy impersonating Adam Sandler, Impressions, Montage and Weekend Update Montage.::Anonymous"
6306,Tribulation,"Tom Canboro is a police detective with a Christian sister, Eileen, a brother, Calvin, a wife, Susan, and eccentric brother-in-law, Jason. One night, Jason seemingly goes insane and tries to kill Eileen, calling her a ""hater"". Tom soon realises this may be a conspiracy going as far as devil worship, but as he speeds in his car to get help, he suddenly loses control and crashes. Waking up in a strange hospital, he finds years have passed and people all over the world are wearing the mark of 666 on their right hands, and all those who don't are being killed off. Franco Macalusso, the believer in world peace Jason was fond of, now controls the world, and is trying to bring the world together as it was at the tower of Babel. Meanwhile, the ""Haters"" or Christians are hiding out and airing TBN tapes on the air for people to realise the Messiah is really the Antichrist, but their leader, Helen Hannah, is arrested...::The Extra in the Background"
6307,Seaside,"A dramatic thriller about Daphne, a young woman who moves to the Oregon Coast with her boyfriend, Roger, when he inherits his childhood beach house, only to discover that Roger hasn't been completely honest about his past."
6308,Nirvana: Nevermind,"It has sold millions and is responsible for the birth of grunge. This documentary looks at the story behind how Nirvana came to record Nevermind and the effect it was to have on the music world. Krist Novoselic, Dave Grohl and Butch Vig share their memories and give us an insight into the genius of Kurt Cobain.::Anonymous"
6309,Queer Eye for the Straight Guy UK,British version of the popular reality show featuring a group of gay men giving makeovers to straight men.
6310,Godzilla vs. Megaguirus,"Japan creates an artificial black hole device to trap Godzilla forever, but a test of the device creates new foes for Godzilla, car-sized dragonflies called meganula and their queen, Megaguirus."
6311,Fantasm,Professor Jurgen Notafreud explores the 10 most common female sexual fantasies.
6312,Children of the Dust,"Gypsy Smith, is a gunfighter and a bounty hunter. When he leads the U.S. Army into a Cheyenne camp to capture a suspected Indian renegade, a long train of events begins that finally lead to that ""good day to die"". White Wolf, only a child, is one of the few survivors of the massacre of his tribe that day, and Gypsy brings him to live with the Maxwell family, where he grows up not fully Indian, and not really white, but a bit too close to Rachel, the Maxwell daughter. Gypsy now reappears, leading a group of Black settlers from the post-Civil War South to start a new life in a town of their own - Freedom in the Oklahoma Territory, its first black settlement. White Wolf (or Corby as a ""white"" name) is now with his people, but all of these parts come back together in conflict, violence, loss, and Pyrric triumph.::Bruce Cameron <dumarest@midcoast.com>"
6313,New Order,A lavish high-society wedding unexpectedly turns into a class struggle that leads to a violent coup.
6314,More Tales of the City,"In this sequel to the controversial PBS mini-series, Mona Ramsey is on a cross-country trip that takes her to a brothel which may hold a secret about her past. Michael ""Mouse"" Tolliver and Mary Ann Singleton go on a cruise where they meet up with lovers old and new. Back in San Francisco, Brian Hawkins becomes involved with a mysterious woman he spots from his window, while DeDe Halcyon Day becomes acquainted with a new friend who helps her discover her true inner feelings.::Phil Fernando"
6315,SpongeBob SquarePants: SpongeBob Goes Prehistoric,"SpongeBob SquarePants VHS featuring the ""Prehistoric"" episode along with 3 other episodes."
6316,Eko Eko Azarak: Wizard of Darkness,"Misa Kuroi is an adorable high-school girl who arrives at her new school when it is falling under an evil supernatural force. Trying to figure out who's behind the supernatural attack, Misa also has to deal with assumptions by her fellow classmates that believe she is the one behind it all. Misa and twelve other students are kept late after school hours one day to retake an exam. Then, after sunset, the entire school is deserted, and the students find themselves trapped inside and their teacher no where to be found. One by one, the thirteen students are picked up and disposed of in horrific and graphic fashion. It is up to Misa to try and gain the trust of her fellow students so that she can protect them and stop the evil before it's too late.::Artemis-9 (edited by Anthony C)"
6317,Tarnation,"Filmmaker Jonathan Caouette's documentary on growing up with his schizophrenic mother -- a mixture of snapshots, Super-8 film, answering machine messages, video diaries, early short films, and more - culled from nineteen years of his life."
6318,Hellraiser,"A woman discovers the newly resurrected, partially formed, body of her brother-in-law. She starts killing for him to revitalize his body so he can escape the demonic beings that are pursuing him after he escaped their sadistic underworld."
6319,Queen of the Damned,"In this loose sequel to Interview with the Vampire: The Vampire Chronicles (1994), the vampire Lestat becomes a rock star whose music wakes up the equally beautiful and monstrous queen of all vampires."
6320,La Traviata,A 14-year-old boy growing up in a housing project in the South of France with his four brothers and their ailing mother in a coma.
6321,Ladies Behaving Badly Series: Volume 1,
6322,The Sweet Hereafter,"A bus crash in a small town brings a lawyer to the town to defend the families, but he discovers that everything is not what it seems."
6323,War Feels Like War,"A compelling account of the brutalities of 21st Century war, told through the eyes of independent journalists. Esteban Uyarra's film documents the lives of reporters and photographers who subverted military media controls to get access to the real Iraq War.::Esteban Uyarra"
6324,The Absolutely Fabulous Show,Claire is celebrating her 20th wedding anniversary by renewing her vows. She's hunting for a frock that leaves everyone speechless.
6325,WiseGirls,A new waitress working at an Italian restaurant in New York City finds herself entangled in a mob-run underworld of drug dealing and murder.
6326,Dracula 3000,Count Dracula terrorizes the crew of a spaceship.
6327,The Secret of NIMH,"To save her ill son, a field mouse must seek the aid of a colony of rats, with whom she has a deeper link than she ever suspected."
6328,Halloween: The Curse of Michael Myers,"Six years after Michael Myers last terrorized Haddonfield, he returns there in pursuit of his niece, Jamie Lloyd, who has escaped with her newborn child, for which Michael and a mysterious cult have sinister plans."
6329,Young Adam,A young drifter working on a river barge disrupts his employers' lives while hiding the fact that he knows more about a dead woman found in the river than he admits.
6330,Disco Pigs,"Pig and Runt - born on the same day, in the same hospital, moments apart. Twins, all but by blood. Inseparable from birth, they are almost telepathic. They are also partners in crime, with an appetite for recklessness, exploration and destruction. But days before their 17th birthday the perfect balance of their world begins to shift. Pig's sexual awakening and increasing jealousy begins to threaten the private universe they have spent their lives constructing. Unable to contemplate the loss of Runt, Pig's unpredictable nature spirals out of control in a trail of violence. The invisible thread between them is stretched to breaking point, the inseparable are about to separate, and which one will survive depends on which one can break free.::Anonymous"
6331,Kodocha,"The story of super hyper child star Sana Kurata. Her mother is an award winning writer who has strange hairstyles and hats in which lives the family pet, Maro-chan the squirrel. Her manager is, as she describes him, Sana's boyfriend and pimp (though Sana doesn't know what a pimp is). At school, her class is in chaos as the boys, under the leadership of the unemotional Akito Hayama, terrorize the teacher who is unable to do anything against them as Hayama is blackmailing her. As the series goes on, Sana and Akito resolve some of their differences and we follow the unlikely pair as they deal with their own pasts along with such issues as divorce, love triangles, child abandonment, and many others. However, this series hardly goes a minute without breaking into truly hilarious verbal and slapstick comedy.::Mike Gulick <dagger@sunspot.tiac.net>"
6332,Hellraiser: Deader,A journalist uncovers an underground group who can bring back the dead and slowly becomes drawn into their world.
6333,Vernost,"Set against the background of a brutal crime gang in Brussels, a tragic love story between Gigi, a high-flying gangster, and Bibi, a young racing driver with very upper-class roots."
6334,Hache,"Inspired by real events, Hache is the story of Helena, a woman catapulted to the heroin trafficking business in the Barcelona of the 60s."
6335,My Wife and Kids,"Michael Kyle longs for a traditional life, but his day-trader wife Janet, gangsta rap-worshipping son Michael Jr., and brooding daughters Claire and Kady make his dream just that ... a dream."
6336,"Little Bear: Feel Better, Little Bear",
6337,The Battle of the Bulge: World War II's Deadliest Battle,"Documentary chronicling the history of World War II's ""Battle of the Bulge"", when the German army launched a major surprise counteroffensive against the American forces that caught them almost completely off-guard, sweeping away major portions of the front line, pushing deep into the rear areas and causing tens of thousands of casualties before it was finally halted.::frankfob2@yahoo.com"
6338,Tropical Rainforest,"A spectacular and unforgettable journey into the heart of the remote and far-flung rainforests of Australia, Costa Rica, French Guiana and Malaysia, this globally important adventure explores these disappearing jungle habitats and gives us a rare, intimate look at the lush foliage and incredibly diverse array of inhabitants.::Anonymous"
6339,"Dow Hits 22,000",
6340,Ghost Stories,Skeptical professor Phillip Goodman embarks on a trip to the terrifying after being given a file with details of three unexplained cases of apparitions.
6341,Elvis '56,"The story of how Elvis Presley went from being just a somewhat naive rock singer to world-famous--and world-weary--superstar in just the space of one year, 1956."
6342,Purple Noon,"Tom Ripley is a talented mimic, moocher, forger and all-around criminal improviser; but there's more to Tom Ripley than even he can guess."
6343,$ellebrity: The Go-To Girls - A Special Edition of 20/20,"A look at what it takes to make a superstar and how three of the top celebrities of the 2000s - Paris Hilton, Britney Spears and Kim Kardashian West - became successful businesswomen and paved the way for a whole new era of celebrity."
6344,Swami,"After she enters into an arranged marriage, a spirited and intellectual young woman tries to adjust to life with a man who was not her choice."
6345,Pilates Conditioning for Weight Loss,"Certified Pilates instructor Suzanne Deason will show you how to quickly burn calories, build lean muscle, boost your metabolism, target trouble areas and help you return to your ideal weight. Progress at your own pace - each exercise is demonstrated for three skill levels (beginner, intermediate, advanced).::Anonymous"
6346,Kino's Journey,"Young world-weary sharpshooter girl Kino and her talking inquisitive motorcycle Hermes travel around her unusual world, visiting various city-states for three days each to learn about their culture, history and ruling philosophy."
6347,Geobreeders,The Kagura Total Security Inc. gang is back with more guns and firepower then ever before.
6348,Crusader,"A gripping action thriller about a reporter who steals a murdered colleague's news story, and becomes an unwitting pawn in a conspiracy that could cost him his life."
6349,Great People of the Bible,
6350,Born Innocent,Young girl runs away from her abusive family only to end up in a juvenile detention center for girls where she's raped and brutalized by her sadistic peers. Only one honest social worker shows interest in helping her.
6351,Elling,"When his mother, who has sheltered him his entire 40 years, dies, Elling, a sensitive, would-be poet, is sent to live in a state institution. There he meets Kjell Bjarne, a gentle giant and female-obsessed virgin in his 40s. After two years, the men are released and provided with a state-funded apartment and stipend with the hope they will be able to live on their own. Initially, the simple act of going around the corner for groceries is a challenge. Through a friendship born of desperate dependence, the skittish Elling and the boisterous, would-be lover of women, Kjell Bjarne, discover they can not only survive on the outside, they can thrive. But as their courage grows, the two find oddball ways to cope with society, striking up the most peculiar friendships in the most unlikely places.::Sujit R. Varma"
6352,Winter Sleepers,"Setting in a small mountain town, a man, looking for revenge because of his daughter's accidentally killing, mistakenly track out a young couple, troubling with their ordinary life problems."
6353,Ikiru,A bureaucrat tries to find meaning in his life after he discovers he has terminal cancer.
6354,Taste of Cherry,An Iranian man drives his truck in search of someone who will quietly bury him under a cherry tree after he commits suicide.
6355,Born Losers,
6356,They Nest,"A Maine island becomes infested with lethal insects that root inside their victims, while a local doctor battles the bugs and incorrigible locals that don't believe him."
6357,The Gathering Storm,"Winston Churchill's wilderness years prior to World War II, when only he could see the threat that Adolf Hitler and a rearmed Germany posed to Europe."
6358,Hart to Hart: Harts in High Season,"When his old enemy Elliot Manning goes missing in Australia, Jonathan Hart is suspected by the Australian police of having done away with him. With help from his wife, Jonathan turns sleuths in order to prove himself innocent. The couple go through a few adventures while trying to clear Jonathan's name.::Sundar Narayan <doctorsundar@hotmail.com>"
6359,Sweet Potato Pie,"Taking its cue from the successful American Pie franchise, Dale Steely's sex comedy Sweet Potato Pie follows the exploits of three friends named Chuck, Perry, and Trey. The threesome set out on a road trip in order to try and shed their pesky virginity, and end up involved with a sexually seasoned woman named Anaconda, a horny and very overweight neighbor, and the title food."
6360,8 ½ Women,"Following the death of a mother, a father and son open up a brothel in their Genevan estate after watching 8½ (1963)."
6361,Cube Escape: Seasons,"Welcome to your first memory, spring 1964. You find yourself in a calm and friendly room overlooking a blooming orchard. Start gathering items, explore your surroundings and you will quickly realise something is wrong."
6362,Johnny Greyeyes,"As her younger brother schemes to commit robbery, a jailed American Indian finds love with another woman."
6363,Microcosmos,A documentary on insect life in meadows and ponds.
6364,Monsoon,"Kit, a British man of Vietnamese heritage, returns to Saigon for the first time in over 30 years after leaving the country with his parents, when he was six years old, at the end of the Vietnam War."
6365,Who's That Knocking at My Door?,"A revenge plot Je-Hwi had hatched against Pyo a boy who bullied him since high school with a stranger he met over the internet, begins to grow way out of control with cruel and unpredictable results."
6366,In Time,"In a future where people stop aging at 25, but are engineered to live only one more year, having the means to buy your way out of the situation is a shot at immortal youth. Here, Will Salas finds himself accused of murder and on the run with a hostage - a connection that becomes an important part of the way against the system."
6367,Indiscretion of an American Wife,"Prior to leaving by train for Paris, a married American woman tries to break off her affair with a young Italian in Rome's Stazione Termini."
6368,Pippi Longstocking,"Pippi Longstocking, a super-strong redheaded little girl, moves into her father's house Villa Villekulla, and has adventures with her next-door neighbors Tommy and Annika in this compilation film of the classic European TV series."
6369,Elton John: Goodbye Yellow Brick Road,
6370,Doomsday Gun,"How the brilliant Canadian munitions engineer, Dr. Gerald Bull, agreed to build a super-gun for Saddam Hussein in 1988, when the U.S. cut his funding for the experiment, and how it attracted the attention of several intelligence agencies."
6371,The Monday Night Wars,
6372,Patlabor 2: The Movie,"When a terrorist attack is blamed on the Air Force, Special Vehicle Unit 2 gets caught in the middle of a growing political conflict."
6373,Batwoman Season 2 Episode 15: Luke Fox Goes to HEAVEN!!,
6374,Michael Crawford in Concert,"Michael Crawford performs a selection of Broadway, inspirational and traditional favorites at the Cerritos Center in Los Angeles. He is also joined by Dale Kristien, his Phantom Of The Opera co-star, for the songs from that show."
6375,Black Cat Run,"A gas-station attendant chases escaped convicts who have abducted his girlfriend, and is blamed for her father's murder."
6376,Mr. Nice Guy,"A Chinese chef accidentally gets involved with a news reporter who filmed a drug bust that went awry, and is now being chased by gangs who are trying to get the video tape."
6377,Wing Chun,Wing Chun's village is yet again being plundered by bandits. This time she uses kung fu to defeat them. The fighting doesn't end here.
6378,The Batman Superman Movie: World's Finest,Joker goes to Metropolis with an offer and plan to kill Superman for Lex Luthor while Batman pursues the clown to Superman's turf.
6379,The Postman Strikes Back,"The Republiic of China was still young, Shihai and the warlords were against Dr. Sun Yat-Sen. Long and his gang roamed the northern mountain areas. They are known as ""The Pigtails"" for the pigtails they wear. Because of the stratgic importance of the northern mountains Jiao sends his envoy.::Victor R. Volkman <sysop@hal9k.com>"
6380,A Pup Named Scooby-Doo,"A pre-teen version of Scooby Doo, with a pint-sized version of the title character."
6381,The Darling Buds of May,"The life of the Larkin family, farmers in Kent."
6382,The Who: Who's Next,"A look at the production of The Who's critically acclaimed release, which became their first and only album to top the UK album chart."
6383,Engineering Disasters,"Spun off from Modern Marvels, Engineering Disasters spotlights what happens when human error and the right circumstances conspire to create major disasters and tragedies."
6384,Camille Claudel,"Camille Claude impresses already-famous sculptor Auguste Rodin. He hires her as an assistant, but soon Camille begins to sculpt for herself and she also becomes his mistress. But after a while, she would like to get out of his shadow."
6385,Casper: A Spirited Beginning,"Casper accidentally finds himself in the world of the living after failing to show up for ghost training and befriends a young boy who teaches him the ways of a ghost, while a ruler from the other world attempts to bring him back."
6386,Body Sculpt/Yoga I,
6387,Yu-Gi-Oh!,"Yugi Moto solves an Ancient Egyptian Puzzle and brings forth a dark and powerful alter ego. Whenever he and his friends are threatened by evil in Duel Monster Card Game, this alter ego breaks out to save them."
6388,Cuban Rafters,"The story of Cuban refugees who risked their lives in homemade rafts to reach the United States, and what life is like for those who succeed."
6389,The Official 2010 World Series Film,"The axiom that good pitching and timely hitting will win you a World Series title has been around as long as the Fall Classic has. But few teams ever proved that theory better than the World Series Champions, the San Francisco Giants."
6390,Half Seas Over,
6391,Midway,"The story of the Battle of Midway, told by the leaders and the sailors who fought it."
6392,Betrayal,"Centers on Sara, an unhappily married photographer who begins a torrid affair with Jack, a lawyer for a powerful family."
